area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,21-Dec,Kanakpura Road,700.0,2.0,1.0,36.0,2.0,5142.857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2.0,4252.336448598131
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,2.0,125.0,3.0,7250.580046403712
Super built-up  Area,Ready To Move,Chikkalasandra,1290.0,2.0,2.0,56.12,3.0,4350.387596899225
Built-up  Area,Ready To Move,Uttarahalli,1143.0,2.0,2.0,45.0,2.0,3937.0078740157483
Built-up  Area,Ready To Move,Murugeshpalya,1296.0,2.0,2.0,81.0,2.0,6250.0
Super built-up  Area,19-Dec,Sarjapur  Road,1254.0,3.0,2.0,38.0,3.0,3030.3030303030305
Super built-up  Area,Ready To Move,Ganga Nagar,600.0,1.0,0.0,38.0,1.0,6333.333333333333
Plot  Area,Ready To Move,Yelahanka,660.0,1.0,0.0,48.0,1.0,7272.727272727273
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0,6897.665960292769
Super built-up  Area,Ready To Move,Doddathoguru,970.0,2.0,0.0,33.0,2.0,3402.061855670103
Super built-up  Area,20-Sep,Whitefield,1459.0,2.0,1.0,94.82,2.0,6498.971898560658
Plot  Area,Ready To Move,KR Puram,800.0,1.0,1.0,130.0,2.0,16250.0
Built-up  Area,Ready To Move,Himagiri Meadows,869.0,2.0,1.0,36.0,2.0,4142.692750287687
Super built-up  Area,Ready To Move,Adarsh Nagar,1270.0,2.0,1.0,50.0,2.0,3937.0078740157483
Super built-up  Area,18-Mar,Bhoganhalli,1670.0,3.0,1.0,99.0,3.0,5928.143712574851
Built-up  Area,Ready To Move,Whitefield,2010.0,3.0,2.0,91.0,3.0,4527.363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0,6329.113924050633
Super built-up  Area,Ready To Move,Yelahanka,1600.0,2.0,3.0,75.0,3.0,4687.5
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2.0,3666.6666666666665
Built-up  Area,20-Feb,Devanahalli,3210.0,2.0,2.0,192.0,4.0,5981.308411214954
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,2.0,12333.333333333334
Plot  Area,Ready To Move,Murugeshpalya,1407.0,4.0,1.0,150.0,6.0,10660.980810234541
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2.0,5357.142857142857
Plot  Area,Ready To Move,Tharabanahalli,4395.0,3.0,2.0,240.0,3.0,5460.750853242321
Super built-up  Area,Ready To Move,Ganga Nagar,845.0,2.0,1.0,55.0,2.0,6508.87573964497
Plot  Area,Ready To Move,Whitefield,5700.0,5.0,3.0,650.0,4.0,11403.508771929824
Built-up  Area,Ready To Move,Varthur,1160.0,2.0,2.0,44.0,2.0,3793.103448275862
Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,0.0,140.0,8.0,4666.666666666667
Super built-up  Area,Ready To Move,Doddathoguru,1100.0,2.0,1.0,62.0,2.0,5636.363636363636
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,3.0,43.0,2.0,3771.9298245614036
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,1.0,57.0,2.0,4672.131147540984
Plot  Area,Ready To Move,Devarachikkanahalli,1350.0,7.0,0.0,85.0,8.0,6296.2962962962965
Super built-up  Area,Ready To Move,Kanakpura Road,1005.0,2.0,1.0,36.68,2.0,3649.7512437810947
Plot  Area,Ready To Move,Double Road,500.0,3.0,2.0,100.0,3.0,20000.0
Super built-up  Area,20-Aug,Begur Road,1358.0,2.0,1.0,80.58,2.0,5933.726067746687
Super built-up  Area,Ready To Move,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0,6437.221159974506
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,1.0,70.0,2.0,5645.1612903225805
Super built-up  Area,Ready To Move,Hennur Road,2089.0,3.0,2.0,140.0,3.0,6701.771182383915
Super built-up  Area,Ready To Move,Kothannur,1206.0,2.0,1.0,48.23,2.0,3999.1708126036483
Super built-up  Area,Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,40.0,2.0,3478.2608695652175
Built-up  Area,Ready To Move,Cholanayakanahalli,2511.0,3.0,3.0,205.0,3.0,8164.078056551175
Built-up  Area,Ready To Move,Kaval Byrasandra,460.0,1.0,0.0,22.0,2.0,4782.608695652174
Built-up  Area,Ready To Move,ISRO Layout,4400.0,6.0,3.0,250.0,6.0,5681.818181818182
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,3.0,6325.301204819277
Built-up  Area,18-Oct,Hennur Road,3203.5,2.0,2.0,224.5,4.0,7007.960043702201
Super built-up  Area,19-Mar,Yelahanka,1326.0,2.0,2.0,78.0,2.0,5882.35294117647
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3.0,4588.679245283019
Super built-up  Area,Ready To Move,EPIP Zone,1499.0,5.0,2.0,102.0,3.0,6804.536357571715
Built-up  Area,Ready To Move,Hegde Nagar,3000.0,7.0,2.0,210.0,6.0,7000.0
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,2.0,88.0,3.0,5285.285285285286
Super built-up  Area,17-Sep,Dasanapura,708.0,2.0,2.0,37.0,2.0,5225.988700564972
Super built-up  Area,Ready To Move,Kasavanhalli,1060.0,2.0,2.0,58.06,2.0,5477.358490566037
Plot  Area,Ready To Move,Rajaji Nagar,710.0,6.0,3.0,160.0,6.0,22535.211267605635
Built-up  Area,Ready To Move,Sanjay nagar,1000.0,2.0,2.0,70.0,2.0,7000.0
Super built-up  Area,18-Dec,Electronic City,1000.0,2.0,1.0,28.88,2.0,2888.0
Super built-up  Area,Ready To Move, Mysore Highway,1450.0,2.0,2.0,70.0,3.0,4827.586206896552
Plot  Area,Ready To Move,ISRO Layout,1200.0,4.0,2.0,155.0,4.0,12916.666666666666
Super built-up  Area,17-Aug,Thanisandra,1296.0,2.0,3.0,80.0,2.0,6172.83950617284
Super built-up  Area,Ready To Move,Domlur,1540.0,3.0,2.0,90.0,3.0,5844.1558441558445
Plot  Area,Ready To Move,Kengeri,2894.0,4.0,1.0,245.0,4.0,8465.791292328957
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3.0,3609.0225563909776
Built-up  Area,Ready To Move,Devasthanagalu,1200.0,2.0,1.0,65.0,2.0,5416.666666666667
Built-up  Area,Ready To Move,T Dasarahalli,1200.0,3.0,1.0,90.0,3.0,7500.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2502.0,3.0,3.0,138.0,3.0,5515.587529976019
Built-up  Area,Ready To Move,Chandapura,650.0,1.0,1.0,17.0,2.0,2615.3846153846152
Plot  Area,Ready To Move,Kothanur,2400.0,2.0,1.0,150.0,3.0,6250.0
Super built-up  Area,Ready To Move,Green View Layout,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
Super built-up  Area,Ready To Move,Shantiniketan Layout,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
Super built-up  Area,Ready To Move,Peenya,966.0,2.0,2.0,49.9,2.0,5165.631469979296
Built-up  Area,Ready To Move,Nagarbhavi,1630.0,2.0,1.0,98.0,3.0,6012.269938650306
Built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,229.0,3.0,13963.414634146342
Built-up  Area,Ready To Move,Jalahalli West,782.0,2.0,2.0,55.68,2.0,7120.204603580562
Super built-up  Area,19-Apr,Devanahalli,1260.0,2.0,2.0,66.78,2.0,5300.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,3.0,6666.666666666667
Super built-up  Area,Ready To Move,Byatarayanapura,1413.0,2.0,2.0,75.0,3.0,5307.855626326964
Super built-up  Area,Ready To Move,Whitefield,1116.0,2.0,1.0,51.91,2.0,4651.433691756272
Super built-up  Area,Ready To Move,Electronic City,1530.0,2.0,1.0,45.9,3.0,3000.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4.0,6081.081081081081
Built-up  Area,Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,140.0,3.0,5606.728073688426
Super built-up  Area,Ready To Move,Kengeri,1540.0,2.0,3.0,64.0,3.0,4155.8441558441555
Super built-up  Area,18-Dec,Thanisandra,1436.0,3.0,1.0,74.75,3.0,5205.431754874652
Super built-up  Area,18-Jun,Malleshwaram,1100.0,2.0,2.0,75.0,2.0,6818.181818181818
Plot  Area,Ready To Move,Hennur Road,276.0,3.0,3.0,23.0,2.0,8333.333333333334
Super built-up  Area,Ready To Move,Thanisandra,1427.0,3.0,2.0,120.0,3.0,8409.250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,200.0,3.0,9704.02717127608
Super built-up  Area,18-Mar,Hebbal,5611.5,4.0,0.0,477.0,4.0,8500.400962309543
Built-up  Area,Ready To Move,Shampura,2650.0,4.0,2.0,150.0,4.0,5660.377358490566
Super built-up  Area,22-Dec,Devanahalli,1282.0,2.0,2.0,68.52,3.0,5344.773790951638
Built-up  Area,Ready To Move,Kadugodi,1050.0,2.0,1.0,34.0,2.0,3238.095238095238
Built-up  Area,Ready To Move,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3.0,4062.5
Super built-up  Area,22-Jan,Vajarahalli,945.0,2.0,1.0,54.0,2.0,5714.285714285715
Super built-up  Area,Ready To Move,Hormavu,1500.0,2.0,1.0,78.0,2.0,5200.0
Plot  Area,Ready To Move,Vishwapriya Layout,950.0,7.0,0.0,115.0,7.0,12105.263157894737
Built-up  Area,Ready To Move,Peenya,1870.0,3.0,3.0,110.0,3.0,5882.35294117647
Plot  Area,Ready To Move,Sarjapur,1600.0,3.0,1.0,75.0,3.0,4687.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,210.0,4.0,17500.0
Super built-up  Area,Ready To Move,Kudlu Gate,1535.0,3.0,2.0,83.0,3.0,5407.166123778502
Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,1.0,57.0,2.0,6000.0
Super built-up  Area,18-Aug,Devanahalli,1360.0,2.0,1.0,65.0,2.0,4779.411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2.0,5030.740568234746
Super built-up  Area,18-May,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3.0,3937.5
Super built-up  Area,19-Jan,Chandra Layout,1260.0,2.0,2.0,85.05,3.0,6750.0
Built-up  Area,Ready To Move,Hennur Road,5000.0,8.0,2.0,250.0,8.0,5000.0
Super built-up  Area,19-Dec,Yelahanka,3050.0,5.0,1.0,213.0,5.0,6983.606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0,6717.635392341896
Super built-up  Area,Ready To Move,ISRO Layout,1000.0,2.0,1.0,60.0,2.0,6000.0
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,1.0,43.76,2.0,3749.7857754927163
Super built-up  Area,Ready To Move,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7.0,5625.0
Super built-up  Area,Ready To Move,Kothanur,1828.0,3.0,2.0,110.0,3.0,6017.505470459519
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2.0,3932.5842696629215
Super built-up  Area,Ready To Move,Basavanapura,1612.0,3.0,3.0,46.74,3.0,2899.5037220843674
Plot  Area,Ready To Move,Dinnur,1034.0,5.0,2.0,185.0,6.0,17891.682785299807
Super built-up  Area,19-Apr,Mysore Road,1710.0,4.0,2.0,91.31,3.0,5339.766081871345
Super built-up  Area,Ready To Move,Kannamangala,957.0,2.0,1.0,58.0,2.0,6060.606060606061
Super built-up  Area,18-May, Devarachikkanahalli,1250.0,2.0,3.0,44.0,3.0,3520.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,2795.0,4.0,2.0,235.0,3.0,8407.871198568873
Super built-up  Area,Ready To Move,Hulimavu,1125.0,2.0,2.0,50.0,2.0,4444.444444444444
Super built-up  Area,18-Jul,Electronic City Phase II,1020.0,2.0,1.0,30.6,2.0,3000.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
Super built-up  Area,Ready To Move,Thanisandra,1735.0,3.0,3.0,135.0,3.0,7780.979827089337
Super built-up  Area,Ready To Move,Thanisandra,2050.0,3.0,1.0,145.0,3.0,7073.170731707317
Plot  Area,Ready To Move,Mahalakshmi Layout,3750.0,4.0,0.0,760.0,4.0,20266.666666666668
Built-up  Area,Ready To Move,Yarandahalli,1350.0,2.0,3.0,48.0,3.0,3555.5555555555557
Super built-up  Area,18-May,Hosa Road,1063.0,2.0,1.0,32.0,2.0,3010.348071495767
Super built-up  Area,Ready To Move,Keshava Nagar,1904.0,3.0,1.0,150.0,3.0,7878.151260504202
Built-up  Area,Ready To Move,Whitefield,4200.0,4.0,2.0,420.0,4.0,10000.0
Super built-up  Area,Ready To Move,RMV Extension,2000.0,3.0,1.0,175.0,3.0,8750.0
Super built-up  Area,18-Dec,Sarjapur,1242.5,2.0,0.0,43.49,2.0,3500.201207243461
Super built-up  Area,Ready To Move,Tejaswini Nagar,1425.0,2.0,2.0,75.0,3.0,5263.1578947368425
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,64.5,3.0,4300.0
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,1.0,60.0,2.0,5660.377358490566
Built-up  Area,Ready To Move,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3.0,4761.9047619047615
Super built-up  Area,Ready To Move,Kothnur Narayanapura,1300.0,6.0,0.0,99.0,6.0,7615.384615384615
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,1.0,64.5,2.0,5598.958333333333
Super built-up  Area,Ready To Move,Electronic City,1350.0,2.0,1.0,56.0,3.0,4148.148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,1550.0,3.0,3.0,65.0,3.0,4193.548387096775
Plot  Area,Ready To Move,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,3.0,6666.666666666667
Plot  Area,Ready To Move,Kumaraswami Layout,600.0,3.0,2.0,85.0,5.0,14166.666666666666
Plot  Area,Ready To Move,Nagavara,400.0,1.0,0.0,14.0,1.0,3500.0
Super built-up  Area,Ready To Move,Malleshwaram,705.0,1.0,2.0,67.0,1.0,9503.54609929078
Built-up  Area,Ready To Move,Electronic City,770.0,1.0,1.0,36.0,2.0,4675.324675324675
Super built-up  Area,Ready To Move,Hulimavu,1242.0,2.0,3.0,51.0,2.0,4106.280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3.0,9117.64705882353
Super built-up  Area,Ready To Move,Thanisandra,2144.0,3.0,2.0,145.0,3.0,6763.059701492537
Super built-up  Area,21-Jun,Vijayanagar,1704.0,3.0,2.0,110.0,3.0,6455.399061032864
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,1.0,52.0,2.0,4859.813084112149
Plot  Area,Ready To Move,8th block Koramangala,1846.0,3.0,2.0,300.0,3.0,16251.354279523293
Super built-up  Area,Ready To Move,Jakkuru Layout,1340.0,2.0,2.0,55.7,2.0,4156.7164179104475
Built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,46.0,2.0,4487.804878048781
Super built-up  Area,Ready To Move,KR Puram,1277.5,2.0,0.0,56.8,2.0,4446.183953033268
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,52.0,2.0,4333.333333333333
Built-up  Area,18-Dec,Kanakpura Road,2250.0,4.0,1.0,110.0,4.0,4888.888888888889
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3.0,5161.290322580645
Plot  Area,Ready To Move,Ejipura,1800.0,7.0,1.0,250.0,7.0,13888.888888888889
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,60.0,2.0,5000.0
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,2.0,98.0,2.0,7385.079125847777
Super built-up  Area,Ready To Move,Kothanur,1186.0,2.0,2.0,58.0,2.0,4890.387858347386
Built-up  Area,Ready To Move,MS Pallya,1783.0,3.0,1.0,115.0,3.0,6449.8037016264725
Super built-up  Area,Ready To Move,HSR Layout,1400.0,3.0,2.0,56.0,3.0,4000.0
Super built-up  Area,Ready To Move,Nagasandra,980.0,2.0,1.0,48.0,2.0,4897.959183673469
Super built-up  Area,Ready To Move,EPIP Zone,1285.0,2.0,2.0,82.0,2.0,6381.322957198444
Super built-up  Area,Ready To Move,Langford Town,912.0,2.0,1.0,70.0,3.0,7675.438596491228
Built-up  Area,Ready To Move,Whitefield,1225.0,2.0,2.0,47.6,2.0,3885.714285714286
Super built-up  Area,Ready To Move,Whitefield,1075.0,2.0,1.0,53.0,2.0,4930.232558139535
Built-up  Area,Ready To Move,Kadugodi,1260.0,2.0,2.0,54.0,3.0,4285.714285714285
Super built-up  Area,Ready To Move,Yelahanka,1282.0,2.0,2.0,48.7,3.0,3798.751950078003
Super built-up  Area,Ready To Move,Kogilu,1909.0,3.0,2.0,88.0,3.0,4609.743321110529
Super built-up  Area,Ready To Move,Panathur,1359.0,2.0,1.0,87.0,2.0,6401.766004415011
Built-up  Area,Ready To Move,Nagondanahalli,1207.0,2.0,2.0,43.5,2.0,3603.976801988401
Plot  Area,Ready To Move,Padmanabhanagar,1736.0,6.0,0.0,190.0,4.0,10944.700460829494
Super built-up  Area,20-May,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4.0,15017.543859649122
Super built-up  Area,Ready To Move,Kammasandra,1595.0,3.0,2.0,65.0,3.0,4075.2351097178685
Built-up  Area,18-Jun,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,3.0,4949.944382647386
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3.0,5307.796610169492
Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,3.0,6329.113924050633
Super built-up  Area,Ready To Move,Dasarahalli,1295.0,2.0,1.0,65.0,2.0,5019.305019305019
Built-up  Area,Ready To Move,Magadi Road,3600.0,6.0,0.0,141.0,6.0,3916.6666666666665
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,27.0,1.0,4584.040747028863
Super built-up  Area,Ready To Move,Ngef Layout,1415.0,3.0,3.0,78.0,3.0,5512.367491166077
Super built-up  Area,18-Dec,Sarjapur  Road,1787.0,3.0,2.0,98.29,3.0,5500.279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,125.0,3.0,6994.963626189144
Super built-up  Area,Ready To Move,Koramangala,1475.0,2.0,3.0,90.0,3.0,6101.6949152542375
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4.0,3775.0
Super built-up  Area,19-Mar,Sarjapur  Road,984.0,2.0,1.0,44.28,2.0,4500.0
Super built-up  Area,19-Dec,Devanahalli,1630.0,2.0,2.0,74.82,3.0,4590.184049079754
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,2405.0,4.0,2.0,260.0,3.0,10810.81081081081
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0,6666.666666666667
Plot  Area,Ready To Move,Shantiniketan Layout,1500.0,2.0,1.0,115.0,2.0,7666.666666666667
Super built-up  Area,Ready To Move,Hebbal,1900.0,3.0,2.0,119.0,3.0,6263.1578947368425
Super built-up  Area,19-Aug,Dommasandra,805.0,2.0,1.0,22.14,2.0,2750.3105590062114
Super built-up  Area,Ready To Move,Budigere,1153.0,2.0,2.0,56.4,2.0,4891.587163920208
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,2.0,5226.480836236934
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,2.0,55.0,2.0,4954.954954954955
Built-up  Area,Ready To Move,Electronic City,1100.0,2.0,2.0,42.0,2.0,3818.181818181818
Super built-up  Area,Ready To Move,Kalyan nagar,1290.0,2.0,2.0,110.0,2.0,8527.131782945737
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,3.0,4333.333333333333
Super built-up  Area,18-Apr,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2.0,3611.1111111111113
Super built-up  Area,21-Jun,Vijayanagar,1933.0,3.0,1.0,129.0,3.0,6673.564407656492
Built-up  Area,Ready To Move,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5.0,4285.714285714285
Built-up  Area,Ready To Move,Kullappa Colony,1060.0,2.0,2.0,60.0,2.0,5660.377358490566
Super built-up  Area,18-Aug,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
Plot  Area,Ready To Move,Mukkutam Nagar,2600.0,8.0,2.0,180.0,8.0,6923.076923076923
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
Super built-up  Area,Ready To Move,Ashwath Nagar,1644.0,3.0,3.0,84.0,3.0,5109.489051094891
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2.0,5642.023346303502
Plot  Area,Ready To Move,Electronic City,1200.0,3.0,1.0,90.0,3.0,7500.0
Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,1.0,40.0,2.0,4395.604395604396
Super built-up  Area,Ready To Move,Kothanur,1577.0,3.0,1.0,70.0,3.0,4438.807863031072
Plot  Area,17-May,Meenakunte,4050.0,3.0,2.0,280.0,3.0,6913.580246913581
Super built-up  Area,Ready To Move,OMBR Layout,2420.0,3.0,2.0,185.0,3.0,7644.628099173554
Built-up  Area,Ready To Move,Anand Nagar,1060.0,2.0,2.0,55.0,2.0,5188.679245283019
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0,7322.834645669292
Built-up  Area,Ready To Move,Kundalahalli Colony,1280.0,2.0,1.0,69.0,2.0,5390.625
Plot  Area,Ready To Move,Horamavu Agara,1200.0,2.0,0.0,95.0,4.0,7916.666666666667
Built-up  Area,Ready To Move,Sarjapur  Road,1025.0,2.0,2.0,36.0,2.0,3512.1951219512193
Super built-up  Area,17-Jun,Electronic City,1108.0,2.0,1.0,63.0,2.0,5685.9205776173285
Plot  Area,Ready To Move,MCECHS  layout,1200.0,5.0,2.0,170.0,5.0,14166.666666666666
Super built-up  Area,Ready To Move,Coffee Board Layout,3045.0,3.0,2.0,170.0,3.0,5582.922824302134
Plot  Area,Ready To Move,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4.0,10344.827586206897
Super built-up  Area,Ready To Move,Vijayanagar,1500.0,3.0,2.0,75.5,3.0,5033.333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2.0,3389.96138996139
Super built-up  Area,Ready To Move,Budigere,1162.0,2.0,1.0,59.9,2.0,5154.9053356282275
Super built-up  Area,Ready To Move,Sarjapur  Road,1035.0,2.0,2.0,49.2,2.0,4753.623188405797
Built-up  Area,Ready To Move,Attibele,1600.0,4.0,0.0,52.8,4.0,3300.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,3.0,3142.0765027322404
Super built-up  Area,18-Oct,Hennur Road,1866.0,2.0,2.0,61.58,3.0,3300.10718113612
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,2.0,3714.285714285714
Super built-up  Area,Ready To Move,Kalena Agrahara,1804.0,3.0,2.0,120.0,3.0,6651.884700665189
Super built-up  Area,Ready To Move,Sarjapur,913.0,2.0,1.0,32.0,2.0,3504.9288061336256
Super built-up  Area,21-Dec,Talaghattapura,1868.0,3.0,2.0,131.0,3.0,7012.847965738758
Built-up  Area,Ready To Move,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2.0,5096.262740656852
